raw_name,site_key,site_type,active,notes
TRANSPORTE DE GARBIGUNES DERIO,BASE_DERIO,transport_base,true,Refuerzos: base operativa de transporte.
TRANSPORTE DE GARBIGUNES BASAURI,BASE_BASAURI,transport_base,true,Refuerzos: base operativa de transporte.
TRANSPORTE DE GARBIGUNES GERNIKA,BASE_GERNIKA,transport_base,true,Refuerzos: base operativa de transporte.
TRANSPORTE DE GARBIGUNES BARAKALDO,BASE_BARAKALDO,transport_base,true,Refuerzos: base operativa de transporte.
TRANSPORTE DE GARBIGUNES SANTURTZI,BASE_SANTURTZI,transport_base,true,Refuerzos: base operativa de transporte.
GETXO ARRIGUNAGA,GETXO ARRIGUNAGA,non_fixed,true,Punto playa/movil o localizacion no equivalente automaticamente al Garbigune fijo; revisar criterio operativo.
GETXO EREAGA,GETXO EREAGA,non_fixed,true,Punto playa/movil o localizacion no equivalente automaticamente al Garbigune fijo; revisar criterio operativo.
GORLIZ APARCAMIENTO PLAYA,GORLIZ APARCAMIENTO PLAYA,non_fixed,true,Punto playa/movil o localizacion no equivalente automaticamente a un Garbigune fijo; revisar criterio operativo.
GORLIZ CERVECERA KILIMANJARO,GORLIZ CERVECERA KILIMANJARO,non_fixed,true,Punto playa/movil o localizacion no equivalente automaticamente a un Garbigune fijo; revisar criterio operativo.
LAGA,LAGA,non_fixed,true,Punto playa/movil; revisar si debe vincularse a una ruta o Garbigune operativo.
KARRASPIO,KARRASPIO,non_fixed,true,Punto playa/movil; revisar si debe vincularse a una ruta o Garbigune operativo.
ZIERBENA,ZIERBENA,non_fixed,true,Punto playa/movil o municipio externo; revisar criterio operativo.
ISPASTER,ISPASTER,non_fixed,true,Punto playa/movil o municipio externo; revisar criterio operativo.
BUSTURIA,BUSTURIA,non_fixed,true,Punto playa/movil o municipio externo; revisar criterio operativo.
ONDARROA ARRIGORRI,ONDARROA ARRIGORRI,non_fixed,true,Punto playa/movil; revisar criterio operativo.
CONTENOR,CONTENOR,quality,true,Valor posiblemente mal escrito o incompleto; revisar fuente.
SIN GARBIGUNE,SIN GARBIGUNE,quality,true,Valor de ausencia de garbigune; no debe cruzar con dim_garbigunes.
