residuo_aw,familia_aw,subfamilia_aw,descripcion_familia,ejemplos,criterio
ARMARIO PEQUEÑO,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
CAMA/SOMIER,Madera y voluminosos,Descanso,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
BUTACA,Madera y voluminosos,Sofás y butacas,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
MOBILIARIO,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
SILLA,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
MESA PEQUEÑA,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
PALETS,Madera y voluminosos,Madera y palets,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
TABLAS,Madera y voluminosos,Madera y palets,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
PUERTAS,Madera y voluminosos,Madera y palets,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
MOQUETA/ALFOMBRA GRANDE,Madera y voluminosos,Textil y alfombras,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
JARDINERÍA,Jardinería,Jardinería,Restos vegetales y residuos de jardinería.,Poda; jardinería; restos vegetales,Residuo vegetal
OTROS PLÁSTICOS,Plásticos,Plásticos y embalajes,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; cápsulas; embalajes,Material plástico no contaminado
MUEBLES PLÁSTICO,Plásticos,Muebles plástico,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; cápsulas; embalajes,Material plástico no contaminado
CÁPSULAS DE PLÁSTICO,Plásticos,Plásticos y embalajes,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; cápsulas; embalajes,Material plástico no contaminado
EMBALAJES,Plásticos,Plásticos y embalajes,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; cápsulas; embalajes,Material plástico no contaminado
METALES DE PEQUEÑO TAMAÑO,Metales,Metal pequeño,Metales no peligrosos separados en entradas AW.,Metales pequeños; metales grandes,Metal no contaminado
METALES DE GRAN TAMAÑO,Metales,Metal grande,Metales no peligrosos separados en entradas AW.,Metales pequeños; metales grandes,Metal no contaminado
PAPEL Y CARTÓN,Papel/cartón y soportes,Papel y cartón,Papel; cartón y soportes físicos de bajo peso.,Papel; cartón; CD-DVD,Material de papel/cartón o soporte no RAEE
CD-DVD,Papel/cartón y soportes,Soportes físicos,Papel; cartón y soportes físicos de bajo peso.,Papel; cartón; CD-DVD,Material de papel/cartón o soporte no RAEE
OTROS RAEES GRAN VOLUMEN,RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
OTROS RAEES PEQUEÑO APARATO,RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
PEQ. AP. ELÉCTRICOS Y ELECTRÓN. (PAAES),RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
HORNO,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
FRIGORÍFICO,RAEE,RAEE frío,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
ORDENADOR,RAEE,RAEE informática,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
PANTALLAS/ MONITORES LED,RAEE,RAEE pantallas,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
PANTALLAS/ MONITORES TUBO,RAEE,RAEE pantallas,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
OTRAS PANTALLAS/MONITORES,RAEE,RAEE pantallas,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
ASPIRADORA,RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
MICROONDAS,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
LAVAVAJILLAS,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
LAVADORA,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
PERIFÉRICOS,RAEE,RAEE informática,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
CPU,RAEE,RAEE informática,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
APARATOS DE CLIMATIZACIÓN,RAEE,RAEE climatización,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
TOSTADORA,RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
LECTOR DVD,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
EQUIPO MÚSICA,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
LÁMPARAS LED,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
LÁMPARAS HALÓGENAS,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
MÓVILES,RAEE,RAEE telefonía,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; pantallas; pequeños aparatos; informática; frío,Equipo eléctrico o electrónico
PINTURAS Y DISOLVENTES,Peligrosos y aceites,Pinturas y disolventes,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
ACUMULADORES AUTOMÓVILES,Peligrosos y aceites,Baterías y acumuladores,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
ACUMULADORES,Peligrosos y aceites,Baterías y acumuladores,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
ACEITE DE CARTER,Peligrosos y aceites,Aceites,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
ACEITE DE COCINA,Peligrosos y aceites,Aceites,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
PILAS,Peligrosos y aceites,Pilas,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
FLUORESCENTES,Peligrosos y aceites,Iluminación especial,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
ENVASES METÁLICOS CONTAMINADOS,Peligrosos y aceites,Envases contaminados,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
ENVASES PLÁSTICOS CONTAMINADOS,Peligrosos y aceites,Envases contaminados,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
TONER,Peligrosos y aceites,Tóner,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
AEROSOLES,Peligrosos y aceites,Aerosoles,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
TERMÓMETRO,Peligrosos y aceites,Mercurio y medición,Residuos peligrosos domésticos; aceites y envases contaminados.,Pinturas; disolventes; aceites; pilas; fluorescentes; envases contaminados,Residuo peligroso o especial
OTROS REUTILIZACIÓN,Reutilización,Reutilización,Materiales identificados para reutilización o en buen estado.,Juguetes en buen estado; otros reutilización,Entrada marcada como reutilizable
JUGUETES BUEN ESTADO,Reutilización,Reutilización,Materiales identificados para reutilización o en buen estado.,Juguetes en buen estado; otros reutilización,Entrada marcada como reutilizable
OTROS VOLUMINOSOS,Otros voluminosos,Otros voluminosos,Voluminosos u otros materiales no asignados a familias anteriores.,Otros voluminosos; persianas; bidones,Clasificación residual revisable
PERSIANAS,Otros voluminosos,Persianas,Voluminosos u otros materiales no asignados a familias anteriores.,Otros voluminosos; persianas; bidones,Clasificación residual revisable
BIDONES,Otros voluminosos,Bidones,Voluminosos u otros materiales no asignados a familias anteriores.,Otros voluminosos; persianas; bidones,Clasificación residual revisable
PLÁSTICOS,Plásticos,Plásticos y embalajes,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; film; porex; cajas; cápsulas,Material plástico no contaminado
FILM,Plásticos,Film plástico,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; film; porex; cajas; cápsulas,Material plástico no contaminado
POREX,Plásticos,Porex,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; film; porex; cajas; cápsulas,Material plástico no contaminado
CAJAS,Plásticos,Plásticos y embalajes,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; film; porex; cajas; cápsulas,Material plástico no contaminado
SILLAS PLÁSTICO,Plásticos,Muebles plástico,Plásticos no peligrosos y embalajes ligeros registrados en AW.,Plásticos; film; porex; cajas; cápsulas,Material plástico no contaminado
MESA GRANDE,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Mesas; estanterías; mobiliario; sillas; descanso,Objeto voluminoso o madera no clasificado como RCD
MESA MEDIANA,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Mesas; estanterías; mobiliario; sillas; descanso,Objeto voluminoso o madera no clasificado como RCD
MESA COCINA,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Mesas; estanterías; mobiliario; sillas; descanso,Objeto voluminoso o madera no clasificado como RCD
ESTANTERÍA,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Mesas; estanterías; mobiliario; sillas; descanso,Objeto voluminoso o madera no clasificado como RCD
COCINA,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
SECADORA,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
OTROS LÍNEA BLANCA,RAEE,RAEE gran aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
OTROS LÍNEA MARRÓN,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
C. VIDEO/CASETTE,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
C. VIDEO CON CAJA (VHS),RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
C. VIDEO SIN CAJA (VHS),RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
CASETTE,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
CASETTE CON CAJA,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
CASETTE SIN CAJA,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
MONITOR,RAEE,RAEE pantallas,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
SECADOR DE PELO,RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
PLANCHAS,RAEE,RAEE pequeño aparato,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
RADIO,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
CÁMARA,RAEE,RAEE audio/vídeo,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
LÁMPARAS TUBO LED,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
TUBO LED 120CM O MAYOR,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
TUBO LED 120CM,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
TUBO LED 90CM O MENOR,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
TUBO LED 90CM,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
TUBO LED 60CM,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
TUBO LED 150CM,RAEE,RAEE iluminación,Aparatos eléctricos y electrónicos registrados como entradas AW.,Grandes aparatos; línea blanca; línea marrón; pantallas; pequeños aparatos,Equipo eléctrico o electrónico
NEUMÁTICOS AUTOMÓVIL,Neumáticos,Neumáticos automóvil,Neumáticos y cubiertas depositados en AW.,Neumáticos automóvil; otros neumáticos,Neumático o cubierta
OTROS NEUMÁTICOS,Neumáticos,Otros neumáticos,Neumáticos y cubiertas depositados en AW.,Neumáticos automóvil; otros neumáticos,Neumático o cubierta
FITOSANITARIOS,Peligrosos y aceites,Fitosanitarios,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
FITOSANITARIOS - ENVASE,Peligrosos y aceites,Envases fitosanitarios,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
FITOSANITARIOS - ENVASES CON PRODUCTO SÓLIDO,Peligrosos y aceites,Envases fitosanitarios,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
FITOSANITARIOS - ENVASES CON PRODUCTO LÍQUIDO,Peligrosos y aceites,Envases fitosanitarios,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
PINTURAS Y DISOL. SÓLIDOS,Peligrosos y aceites,Pinturas y disolventes,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
ABSORBENTES CONTAMINADOS,Peligrosos y aceites,Absorbentes contaminados,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
FILTROS ACEITE,Peligrosos y aceites,Filtros aceite,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
AEROSOLES - CON RESIDUO,Peligrosos y aceites,Aerosoles,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
AEROSOLES - VACÍOS,Peligrosos y aceites,Aerosoles,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
TRAPOS IMPREGNADOS,Peligrosos y aceites,Absorbentes contaminados,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
PILAS NO BOTÓN,Peligrosos y aceites,Pilas,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
PILAS BOTÓN,Peligrosos y aceites,Pilas,Residuos peligrosos domésticos; aceites y envases contaminados.,Fitosanitarios; pinturas; pilas; aerosoles; absorbentes contaminados,Residuo peligroso o especial
CÁPSULAS METÁLICAS,Metales,Metal pequeño,Metales no peligrosos separados en entradas AW.,Metales pequeños; cápsulas metálicas; menaje metálico,Metal no contaminado
SARTÉN,Metales,Menaje metálico,Metales no peligrosos separados en entradas AW.,Metales pequeños; cápsulas metálicas; menaje metálico,Metal no contaminado
CAZUELA,Metales,Menaje metálico,Metales no peligrosos separados en entradas AW.,Metales pequeños; cápsulas metálicas; menaje metálico,Metal no contaminado
RADIOGRAFÍAS/PAPEL FOTOGRÁFICO,Papel/cartón y soportes,Radiografías y fotografía,Papel; cartón y soportes físicos de bajo peso.,Radiografías; papel fotográfico; CD-DVD,Soporte físico no RAEE
PAPEL FOTOGRAFICO,Papel/cartón y soportes,Radiografías y fotografía,Papel; cartón y soportes físicos de bajo peso.,Radiografías; papel fotográfico; CD-DVD,Soporte físico no RAEE
CD-DVD SIN CAJA,Papel/cartón y soportes,Soportes físicos,Papel; cartón y soportes físicos de bajo peso.,Radiografías; papel fotográfico; CD-DVD,Soporte físico no RAEE
CD-DVD CON CAJA,Papel/cartón y soportes,Soportes físicos,Papel; cartón y soportes físicos de bajo peso.,Radiografías; papel fotográfico; CD-DVD,Soporte físico no RAEE
JUGUETES,Otros voluminosos,Juguetes,Voluminosos u otros materiales no asignados a familias anteriores.,Juguetes; no admisibles; otros voluminosos,Clasificación residual revisable
NO ADMISIBLE (!),Otros voluminosos,No admisible,Voluminosos u otros materiales no asignados a familias anteriores.,Juguetes; no admisibles; otros voluminosos,Clasificación residual revisable
